"Post-pandemic, how has your organization changed its work from home / return to work policy?",,,,,,,,,,,,,,,,,,,
Response,Topic,Subtopic,,Topic,Subtopic,Count,,Topic,Insights,Exemplar_1,Exemplar_2,Summary,,,,,,Prep data for dropdown,
"Yes, we switched to a hybrid schedule.",Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
"Yes, started allowing remote and hybrid when those were not options before.",Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
Hybrid 3 days in the office; flexible on which 3 days are in the office,Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
Return to work; They opted for hybrid model,Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
"Not really. It's hybrid, but most people show up 1-2 days a week",Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
We now have a hybrid policy; 2 days in office; 3 days work from home (or Hawaii),Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
Yes.  Moved from WFH to Hybrid,Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
we have set aside a few days a week for each team to come to the office,Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
yes we have a hybrid policy with 3 days from office,Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
"yes, once fully onsite. Now a mix of work from home and onsite. We hire regardless of geographical location.",Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
"Yes, went from fully remote with optional to be onsite to hybrid, onsite 2 days a week and work from home 3 days a week",Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
Far more people work from home post-pandemic than before. People are returning to the office but rarely 5 days a week.,Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
Yes. Moved from WFH to Hybrid,Workplace adaptation strategies,Migration to hybrid model,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
