How have these changes impacted your quality of life?,,,,,,,,,,,,,,,,,,,,,,
Response,Topic,Subtopic,,Topic,Subtopic,Count,,Topic,Insights,Exemplar_1,Exemplar_2,Summary,,,,,,Prep data for dropdown,,,,
Quality of life is good. Can Spend time with family and friends oj Daily basis,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Yes; It has given me more of a balance with work and home responsibilities.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Yes; I am able to work from home with a lot of flexiblity. This has given me a true work/home balance where I can do my work anytime and still take care of my family. This is more valuable than a good pay rate.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
worklife balance - love it,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Working from home has been great for family life,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
remote work increases quality of life a ton,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Remote work has dramatically improved my quality of life. I have more time with pets and family, and more time to run errands. But since I work from home, it is easier for me to work in the evening or on weekends when needed, so I can work when there’s work and relax when there’s nothing to do.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Remote improved my overall quality of life. Reduced stress from commuting and allowed more time to spend with my family before and after work hours.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Quality of life is way better at home,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Quality of life is great that way. Not sure about the productivity though,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Quality of life has increased? People are trusted and empowered. They choose where they work.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
overall I would say it improved my quality of life,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
it's better now,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"It's allowed me to do more stuff around the house (laundry, receiving parcels, and collecting my son from nursery) and I really enjoy not commuting every single day",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"It is much better, I am much happier",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has made the quality of life better,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has made it easier to manage things like doctor appointments or run errands,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has increased my quality of life.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has improved it.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"It allows me to spend more time with my family and save money on gas not having to drive to work, but I think it has negatively impacted my opportunity for promotion",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Improved. Easier to organize,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
improved my quality of life overall; i have more flexibility than before TEST,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Improved my quality of life because remote work can add balance.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Improved it,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Improved,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"I work 100% remotely and have been for 17 years. It has given me maximum flexibility and much better work-life balance. I do have rare times where I travel for client work or internal meetings, and attend occasional in-office events, but I value those as a way to connect with people. I find I'm much more efficient when working from home though.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Gives me flexibility to take care of family needs; No,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"For me, it has been very positive.  I have a good work-from-home setup that my company funded and I am fortunate enough to have a space that allows me to work and take meetings without distractions.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"For me personally I have found it very positive, reducing time spent commuting, allowing greater time with family and providing a quiet environment to work in without office distractions",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Definite improvement.  More flexibility to get things done. but not all of objectives can be met nor is it always more productive when working remotely; I don't really have any challenges working remotely,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Positively,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"yes. Positively.; I am 100% remote, now living in my dream location full time",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Yes, it's improved my quality of life.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Positive impact but limited in current role. Improved work life balance,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
More flexibility and work life balance,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
For the most part my quality of life has decreased. Work isn’t the point of my life. I had more flexibility working from home and still got my work done. Now I struggle to fit everything I want to do in my schedule and am always tired.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"I'd prefer to have the option to wfh all the time, and go in as needed.; I go in 3 days a week. It makes the days I go into the office less flexible.",Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
In a positive way. It allows me flexibility and no pressure to return to the office if I’m unable.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
In work from home able to manage things much easier and also 3days/week also will be help to spend time with family and work efficiently,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Moving to a new city just to work from office a couple of days a week is really financially challenging compared to work from home; No personal changes,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
it provides flexibility and better time management,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
In general I am ok with it because I like the mix of working from home and being in the office. It is being implemented in a reasonably flexible manner. We dont have to be in the office for the full day so you can work around commute times. Right now it is not being tracked but if it were I would find it a bit restrictive as I dont have any direct team members or colleagues in the office - everyone I deal with is remote anyway. I am in a global role.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
it's good. I come and go when I want,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has allowed me to optimize my time between working in the office when needed and working remotely when more efficient,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I would like more flexibility instead of mandated 3 days in the office.,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Better, less than me commuting now than before; More time for hobbies",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Except commute I like working from office; I get 3 hours to spend with family, work & things for myself",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Good balanced; Lesser time in traffic, more focus on work and more time to family",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Great - I don’t have to commute for 2 hours a day anymore,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Great! Love working from home. It’s a nice balance and I don’t have to spend 2 hours commuting each day,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I am permanently working from home; It reduces my road time so that i an focus more on myself and family,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I get to spend zero time travelling to office which is an advantage; I have more personal time than before,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"I love it, no commute, less anxiety",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It has helped me tremendously in managing my personal and professional priorities and improved my quality of life where I save almost 15 to 20 hours a week in commute,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"My life has mostly stayed the same since we haven't implemented any changes!; If we were to change from remote to hybrid or in person, I would be frustrated with commute times or not being able to take care of my dog",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
My life quality has been increased since I save the travelling time to do house work or exercises. It is good for self well being.,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Nothing much, by work from home we can avoid unnecessary time waste activities like transportation; I can spend that time on work purposes and call can be managed more effy",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Significant improvement in productivity due to less time on road communing. Ability to work more seamlessly across timezones as we adopted a hybrid work policy. I do not need to be in office to take an off hour meeting with someone across the timezones. So more productive. Ability to connect increased professionally as no need to be at work. But personal relationships and getting to know people and have fun have reduced significantly. Social life reduced.,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Good to not have to be in office every work day; Save time commuting; away from pressure /stress of commuting; less pollution from commuting & maybe a bit more economical not commuting.,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Yes; I have more time outside of work. I don't need to waste time by commuting.,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
Reasonably positively.  I spend less on gas and less time on the road,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"It makes it so I don't have to commute. It saves me time and stress in that way. It also gives me more flexibility in my day to do other errands. Overall, it has been good; although, I do miss the social aspect of talking to my colleagues in person.",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
I prefer WFH since it allows for time to recouped (primarily from commute) that had improved my quality of life,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
"Having flexibility to manage my own schedule is more valuable than money.  the pandemic brought our family closer together and going into an office does not support the flexibility.  My quality of life has improved, and I don't need to commute 45 minutes to an office.  My commute is down the stairs, make a cup of coffee and start work.  I am much more productive.",Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
It's made it easier to live where I want to and not spend so much time commuting,Positive impact on quality of life,Reduced commute time due to hybrid/remote schedule,,,,,,,,,,,,,,,,Increased productivity levels due to hybrid/remote policy,Increased productivity/work quality due to RTO,Positive impact on physical and mental health,Positive impact on work-life balance due to hyrbrid/remote policy,Reduced commute time due to hybrid/remote schedule
